ID,標籤,主旨,主分類,次分類,檔案名稱,類型,路徑,啟用,負責人,創建日期,最後更新人,最後更新日期
4ced4a5b-abdd-4561-87a3-e8cd4e20dc6b,MM;盤點,MI01 無法建立盤點文件解決方法,SAP/ERP系統,FAQ,MI01無法建立盤點文件解決方法.mht,html,http://sai-wsus12/faq/sap/MI01無法建立盤點文件解決方法.mht,Y,SystemTransfert,2011/07/01,SystemTransfert,2011/07/01
bdaa1843-56f7-437b-af2d-97b6cf5c6132,MM;PP,RCO 物料主檔設定、工單開立流程,SAP/ERP系統,操作手冊,RCO物料主檔設定、工單開立流程.mht,html,http://sai-wsus12/faq/sap/RCO物料主檔設定、工單開立流程.mht,Y,SystemTransfert,2011/07/01,SystemTransfert,2011/07/01
6202408a-a861-4fec-879d-b1582642d3fb,工單;生產版本,工單無法建立，顯示未找到有效的生產版本,SAP/ERP系統,FAQ,工單無法建立.mht,html,http://sai-wsus12/faq/sap/工單無法建立.mht,Y,SystemTransfert,2011/07/07,SystemTransfert,2011/07/07
6f3f2027-4fd2-49e8-9b3c-d6e608052842,報表,SAP報表匯出後抬頭格式問題,SAP/ERP系統,FAQ,SAP報表匯出後抬頭格式問題.mht,html,http://sai-wsus12/faq/sap/SAP報表匯出後抬頭格式問題.mht,Y,SystemTransfert,2011/07/07,SystemTransfert,2011/07/07
87c897e9-1c18-44fb-aa11-976c64795b1e,JOB;背景;SM37,背景執行操作方式,SAP/ERP系統,FAQ,背景執行操作方式.mht,html,http://sai-wsus12/faq/sap/背景執行操作方式.mht,Y,SystemTransfert,2011/07/14,SystemTransfert,2011/07/14
49f722eb-ce15-4e01-bf65-578308797cbc,列印,SAP-利用本機電腦列印文件,SAP/ERP系統,FAQ,SAP-利用本機電腦列印文件.mht,html,http://sai-wsus12/faq/sap/SAP-利用本機電腦列印文件.mht,Y,SystemTransfert,2013/04/17,SystemTransfert,2013/04/17
8ee3b821-7d63-4f6d-83c1-e47f2ae7c3ff,GUI,SAP-GUI 安裝及設定,SAP/ERP系統,操作手冊,SAP_setup.htm,html,http://sai-wsus12/faq/SAP_setup.htm,Y,SystemTransfert,2010/06/03,SystemTransfert,2010/06/03
6447de3e-7e0e-469d-a619-aecf5be85f16,資安;Security;病毒,面對勒索軟體(病毒)威脅，你付錢了嗎？,資訊安全,時事分享,面對勒索軟體(病毒)威脅，你付錢了嗎？.pdf,html,http://sai-wsus12/faq/Knowledge%20Sharing/面對勒索軟體(病毒)威脅，你付錢了嗎？.pdf,Y,SystemTransfert,2016/09/21,SystemTransfert,2016/09/21
c875f538-a2df-481a-bc81-990b53db26dd,軟體;著作權法,○○公司涉使用盜版軟體 侵權金額恐逾2億,資訊安全,時事分享,新聞分享-○○公司涉使用盜版軟體 侵權金額恐逾2億.pdf,html,http://sai-wsus12/faqKnowledge%20Sharing/新聞分享-○○公司涉使用盜版軟體%20侵權金額恐逾2億.pdf,Y,SystemTransfert,2016/10/05,SystemTransfert,2016/10/05
84d08aa9-84af-413c-bfae-efa2e958a485,軟體;著作權法,常見軟體侵權類型&不可不知的著作權法律規範,資訊安全,時事分享,常見軟體侵權類型&不可不知的著作權法律規範.pdf,html,http://sai-wsus12/faqKnowledge%20Sharing/常見軟體侵權類型&不可不知的著作權法律規範.pdf,Y,SystemTransfert,2016/10/26,SystemTransfert,2016/10/26
f26facf8-62f8-46c8-a296-a1502511a47a,密碼,密碼注意事項,資訊安全,時事分享,密碼注意事項.pdf,html,http://sai-wsus12/faq/Knowledge%20Sharing/密碼注意事項.pdf,Y,SystemTransfert,2016/12/05,h7925,2018/11/29
38571c20-a84f-4195-bbf4-abeb47096e13,軟體;著作權法,軟體著作權侵權說明及案例分享,資訊安全,時事分享,軟體著作權侵權說明及案例分享.pdf,html,http://sai-wsus12/faqKnowledge%20Sharing/軟體著作權侵權說明及案例分享.pdf,Y,SystemTransfert,2017/01/24,SystemTransfert,2017/01/24
4021cd06-9305-4952-b81e-a6e4708ddb08,FI;ASSET;固定資產,新舊固資編號查詢方法_ZFIQ001,SAP/ERP系統,操作手冊,新舊固資編號查詢方法_ZFIQ001.mht,html,http://sai-wsus12/faq/sap/新舊固資編號查詢方法_ZFIQ001.mht,Y,SystemTransfert,2011/06/16,SystemTransfert,2011/06/16
0e76f9ed-9951-4097-a50a-c5da013a5bab,PP,工單批號錯誤處理方式,SAP/ERP系統,FAQ,工單批號錯誤處理方式.mht,html,http://sai-wsus12/faq/sap/工單批號錯誤處理方式.mht,Y,SystemTransfert,2011/06/16,SystemTransfert,2011/06/16
d8ff4a77-d17f-48ad-a526-d76207b30baf,PP,無法更改批次管理需求解決方法,SAP/ERP系統,FQA,無法更改批次管理需求解決方法.mht,html,http://sai-wsus12/faq/sap/無法更改批次管理需求解決方法.mht,Y,SystemTransfert,2011/06/16,SystemTransfert,2018/11/28
f669e926-38b0-49da-acca-2201696fe3b1,MM,ZMM017跑表一直被取消解決方法,SAP/ERP系統,FAQ,zmm017為何跑表一直被取消.mht,html,http://sai-wsus12/faq/sap/zmm017為何跑表一直被取消.mht,Y,SystemTransfert,2011/07/01,SystemTransfert,2011/07/01
68dd21c7-b3fa-4c71-bfe8-8d13f69bccad,行動支付;ApplePay,Apple Pay提醒的資安警訊,資訊安全,時事分享,Apple Pay提醒的資安警訊.pdf,file,http://sai-wsus12/faq/Knowledge%20Sharing/Apple%20Pay提醒的資安警訊.pdf,Y,SystemTransfert,2017/04/24,SystemTransfert,2018/11/27
c65ff2f5-3c48-4800-89f1-35865f2e0c7b, ,科技大廠內鬼還真多！ 群○、台○電連環爆,資訊安全,時事分享,科技大廠內鬼還真多！ 群○、台○電連環爆.pdf,html,http://sai-wsus12/faqKnowledge%20Sharing/科技大廠內鬼還真多！%20群○、台○電連環爆.pdf,Y,SystemTransfert,2017/05/05,SystemTransfert,2017/05/05
57efa5ac-ca4b-49be-994c-c9e29ce34561,智慧,Akamai亞太區安全技術長：臺灣為何成為WannaCry重災區，使用者缺乏○○○○習慣惹禍,資訊安全,時事分享,Akamai亞太區安全技術長：臺灣為何成為WannaCry重災區，使用者缺乏○○○○習慣惹禍.pdf,html,http://sai-wsus12/faqKnowledge%20Sharing/Akamai亞太區安全技術長：臺灣為何成為WannaCry重災區，使用者缺乏○○○○習慣惹禍.pdf,Y,SystemTransfert,2017/06/01,SystemTransfert,2017/06/01
6c3dcf7a-e4ad-4ab4-9f11-46f68210bff4, ,工業4.0 讓製造變得更智慧,資訊安全,時事分享,工業4.0 讓製造變得更智慧.pdf,html,http://sai-wsus12/faqKnowledge%20Sharing/工業4.0%20讓製造變得更智慧.pdf,Y,SystemTransfert,2017/12/26,SystemTransfert,2017/12/26
aa49547b-136b-490c-b891-a25bfb10bb75, ,資訊設備統一命名規範,軟體安裝及操作,FAQ,資訊設備統一命名規範.mht,html,http://sai-wsus12/faq/software&knowledge/資訊設備統一命名規範.mht,Y,SystemTransfert,2010/06/03,SystemTransfert,2010/06/03
a4f6a228-d95f-4c43-9056-ac67689fdcc7, ,替代軟體放置路徑,軟體安裝及操作,FAQ,,html,file://sai-fas3210-01a\1.公用資料\1.6%20安裝軟體\1.6.2%20自由軟體,Y,SystemTransfert,2010/06/03,SystemTransfert,2010/06/03
ecd94b98-bd69-4ba0-b2ea-764b0fc484a7,EMAIL;SPAM,NEW-如何查看還未寄出通知的攔截信件,軟體安裝及操作,Mail,sqr_spam_mail.mht,html,http://sai-wsus12/faq/http://sai-wsus12/faq/software&knowledge/sqr_spam_mail.mht,Y,SystemTransfert,2016/07/13,SystemTransfert,2016/07/13
4345068b-2256-4f46-8829-89821bd9d113,EMAIL;SPAM,NEW-如何收到被隔離的「垃圾信」(白名單設定),軟體安裝及操作,Mail,sqR_white_list.mht,html,http://sai-wsus12/faq/http://sai-wsus12/faq/software&knowledge/sqR_white_list.mht,Y,SystemTransfert,2016/07/13,SystemTransfert,2016/07/13
8e07dbcd-3fc5-4045-b125-00dac8203257,EMAIL;SPAM,Mail - 如何收到被隔離的「垃圾信」(白名單設定),軟體安裝及操作,Mail,white_list.mht,html,http://sai-wsus12/faq/software&knowledge/white_list.mht,Y,SystemTransfert,1900/01/01,SystemTransfert,1900/01/01
da2ea641-7553-453e-8e08-18aff4213369,EMAIL;SPAM,Mail - 如何查看是否有沒收到的外部信件,軟體安裝及操作,Mail,spam_mail.mht,html,http://sai-wsus12/faq/software&knowledge/spam_mail.mht,Y,SystemTransfert,1900/01/01,SystemTransfert,1900/01/01
8ddcda06-6c1e-464f-bdb0-9ce9b90b5265, ,Mail-大量匯出及匯入白名單步驟,軟體安裝及操作,Mail,大量匯出白名單.mht,html,http://sai-wsus12/faq/software&knowledge/大量匯出白名單.mht,Y,SystemTransfert,1900/01/01,SystemTransfert,1900/01/01
822066cc-e394-4360-a33b-801769a487eb, ,Mail-寄來郵件已加入白名單後卻仍被隔離,軟體安裝及操作,Mail,寄來郵件已加入白名單後卻仍被隔離.mht,html,http://sai-wsus12/faq/software&knowledge/寄來郵件已加入白名單後卻仍被隔離.mht,Y,SystemTransfert,2014/12/16,SystemTransfert,2014/12/16
70e92ddb-8ad4-4dce-b867-64f77f80f355, ,在公司外部收取郵件及使用EASYFLOW,軟體安裝及操作,Mail,use-mail-easyflow-home.htm,html,http://sai-wsus12/faq/use-mail-easyflow-home.htm,Y,SystemTransfert,2010/06/03,SystemTransfert,2010/06/03
5b6bc03d-36df-4dd5-9ef8-e762c0b968e2, ,EasyFlow - 帳號登入範例,軟體安裝及操作,操作手冊,EasyFlow帳號登入範例.mht,html,http://sai-wsus12/faq/software&knowledge/EasyFlow帳號登入範例.mht,Y,SystemTransfert,2010/06/03,SystemTransfert,2010/06/03
79203219-9bf3-497e-a83a-eff024da10a7, ,FileServer-檔案及資料夾還原教學,軟體安裝及操作,操作手冊,fileserver_recovery.htm,html,http://sai-wsus12/faq/fileserver_recovery.htm,Y,SystemTransfert,2010/08/31,SystemTransfert,2010/08/31
0fa6ccce-3280-4a33-a971-7cd8b00c9c24, ,連線網路磁碟機(公用資料夾、部門資料夾、公用暫存資料),軟體安裝及操作,操作手冊,連線網路磁碟機.htm,html,http://sai-wsus12/faq/連線網路磁碟機.htm,Y,SystemTransfert,2010/12/31,SystemTransfert,2010/12/31
95ef0911-7459-4d17-92dd-60b042767ca5, ,如何設定共用及設定安全性,軟體安裝及操作,操作手冊,set-share-authority.htm,html,http://sai-wsus12/faq/set-share-authority.htm,Y,SystemTransfert,2010/06/03,SystemTransfert,2010/06/03
033bd90d-0505-42c1-b4ef-af63d3b60092, ,查詢IP的方法,軟體安裝及操作,操作手冊,inquire-ip.mht,html,http://sai-wsus12/faq/software&knowledge/inquire-ip.mht,Y,SystemTransfert,2010/06/03,SystemTransfert,2010/06/03
58a45c07-5c1b-496e-b651-bc97f7f27f16, ,如何查詢電腦名稱,軟體安裝及操作,操作手冊,inquire-pcname.htm,html,http://sai-wsus12/faq/inquire-pcname.htm,Y,SystemTransfert,2010/06/03,SystemTransfert,2010/06/03
88e11850-5b31-43a9-a9b0-381db6845f1a, ,針對Code39條碼字母大小寫問題,軟體安裝及操作,操作手冊,針對Code39條碼字母大小寫問題.mht,html,http://sai-wsus12/faq/software&knowledge/針對Code39條碼字母大小寫問題.mht,Y,SystemTransfert,2011/05/24,SystemTransfert,2011/05/24
e081d864-14c0-42b6-9a58-07985729ce61, ,使用WinRAR來壓縮＆切割檔案,軟體安裝及操作,WINRAR,winrar.mht,html,http://sai-wsus12/faq/software&knowledge/winrar.mht,Y,SystemTransfert,2010/06/03,SystemTransfert,2010/06/03
e9662abb-280b-446f-a200-5bfc650942b9,SCAN,名片掃描教學,軟體安裝及操作,SCAN,名片掃描.mht,html,http://sai-wsus12/faq/software&knowledge/名片掃描.mht,Y,SystemTransfert,2013/06/03,SystemTransfert,2013/06/03
