DateTime: 2018-10-18 16:38:01.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-19 12:30:00.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-19 16:00:00.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-22 12:30:00.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-22 16:00:00.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-22 16:29:59.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-23 12:30:01.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-23 16:30:00.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-24 12:30:03.000, ActionEvent: 異動資料筆數: 1
DateTime: 2018-10-24 16:30:01.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-25 12:30:00.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-25 16:30:00.000, ActionEvent: 異動資料筆數: 2
DateTime: 2018-10-26 12:30:01.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-26 16:30:00.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-29 12:30:02.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-29 16:30:01.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-30 12:30:01.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-30 16:30:03.000, ActionEvent: 異動資料筆數: 14
DateTime: 2018-10-31 12:30:06.000, ActionEvent: 異動資料筆數: 0
DateTime: 2018-10-31 13:56:22.000, ActionEvent: 異動資料筆數: 27
